job,marital,education,contact,duration,campaign,age,ConsumerPriceeIndex,ConsumerConfidenceIndex,y
blue-collar,divorced,basic.9y,telephone,169,1,44,93.994,-36.4,no
admin.,married,high.school,telephone,124,1,37,93.994,-36.4,no
services,married,unknown,telephone,122,6,47,93.994,-36.4,no
retired,divorced,university.degree,telephone,83,4,58,93.994,-36.4,no
services,single,high.school,telephone,318,1,28,93.994,-36.4,no
technician,married,professional.course,telephone,29,3,46,93.994,-36.4,no
admin.,married,high.school,telephone,218,1,48,93.994,-36.4,no
blue-collar,married,professional.course,telephone,144,2,41,93.994,-36.4,no
blue-collar,single,basic.6y,telephone,130,2,32,93.994,-36.4,no
technician,married,unknown,telephone,429,1,48,93.994,-36.4,no
management,married,university.degree,telephone,27,1,49,93.994,-36.4,no
services,single,high.school,telephone,343,2,27,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,385,1,55,93.994,-36.4,no
admin.,married,professional.course,telephone,167,3,46,93.994,-36.4,no
technician,married,professional.course,telephone,89,1,47,93.994,-36.4,no
admin.,divorced,university.degree,telephone,95,1,42,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,289,1,51,93.994,-36.4,no
retired,married,basic.4y,telephone,156,1,57,93.994,-36.4,no
services,single,basic.6y,telephone,112,1,32,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,351,1,54,93.994,-36.4,no
admin.,married,professional.course,telephone,198,1,33,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,165,1,50,93.994,-36.4,no
services,divorced,high.school,telephone,25,1,45,93.994,-36.4,no
services,divorced,basic.9y,telephone,134,2,49,93.994,-36.4,no
management,married,basic.4y,telephone,268,6,47,93.994,-36.4,no
services,married,basic.9y,telephone,298,1,45,93.994,-36.4,no
technician,married,professional.course,telephone,188,2,36,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,241,1,38,93.994,-36.4,no
self-employed,single,high.school,telephone,201,1,30,93.994,-36.4,no
management,married,university.degree,telephone,27,1,41,93.994,-36.4,no
technician,single,university.degree,telephone,206,1,31,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,68,1,35,93.994,-36.4,no
technician,married,basic.6y,telephone,82,3,36,93.994,-36.4,no
services,married,high.school,telephone,94,2,51,93.994,-36.4,no
management,married,university.degree,telephone,97,2,41,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,138,1,37,93.994,-36.4,no
management,married,basic.9y,telephone,285,2,36,93.994,-36.4,no
student,single,high.school,telephone,135,1,35,93.994,-36.4,no
technician,married,professional.course,telephone,483,2,57,93.994,-36.4,yes
admin.,single,university.degree,telephone,267,1,28,93.994,-36.4,no
housemaid,divorced,basic.4y,telephone,382,2,54,93.994,-36.4,no
admin.,single,university.degree,telephone,55,2,38,93.994,-36.4,no
management,divorced,high.school,telephone,259,3,52,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,18,1,43,93.994,-36.4,no
student,single,basic.9y,telephone,234,1,30,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,792,4,51,93.994,-36.4,no
technician,married,university.degree,telephone,95,1,31,93.994,-36.4,no
blue-collar,married,unknown,telephone,943,2,45,93.994,-36.4,yes
blue-collar,married,basic.4y,telephone,798,1,42,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,168,1,37,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,84,12,49,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,100,3,34,93.994,-36.4,no
services,married,basic.6y,telephone,85,4,50,93.994,-36.4,no
services,divorced,high.school,telephone,143,1,47,93.994,-36.4,no
unknown,married,basic.6y,telephone,115,1,44,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,23,1,42,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,73,1,31,93.994,-36.4,no
management,married,high.school,telephone,31,1,52,93.994,-36.4,no
housemaid,married,basic.4y,telephone,182,2,56,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,190,1,36,93.994,-36.4,no
admin.,married,university.degree,telephone,351,1,45,93.994,-36.4,no
self-employed,married,university.degree,telephone,179,1,31,93.994,-36.4,no
housemaid,married,university.degree,telephone,237,1,39,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,107,2,45,93.994,-36.4,no
self-employed,married,basic.9y,telephone,529,3,46,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,36,1,32,93.994,-36.4,no
management,single,university.degree,telephone,122,2,29,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,198,1,41,93.994,-36.4,no
admin.,married,university.degree,telephone,67,1,35,93.994,-36.4,no
services,married,basic.9y,telephone,238,3,29,93.994,-36.4,no
admin.,married,university.degree,telephone,81,1,34,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,496,3,31,93.994,-36.4,no
technician,single,professional.course,telephone,114,2,36,93.994,-36.4,no
technician,married,university.degree,telephone,156,5,41,93.994,-36.4,no
retired,married,basic.9y,telephone,211,2,59,93.994,-36.4,no
unemployed,married,basic.6y,telephone,265,1,45,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,48,2,31,93.994,-36.4,no
services,married,high.school,telephone,104,2,25,93.994,-36.4,no
management,married,unknown,telephone,610,1,38,93.994,-36.4,no
blue-collar,divorced,basic.9y,telephone,287,1,32,93.994,-36.4,no
admin.,single,high.school,telephone,68,2,33,93.994,-36.4,no
self-employed,married,university.degree,telephone,167,4,35,93.994,-36.4,no
blue-collar,married,professional.course,telephone,336,1,37,93.994,-36.4,no
technician,married,professional.course,telephone,202,1,47,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,228,1,28,93.994,-36.4,no
admin.,married,high.school,telephone,192,1,36,93.994,-36.4,no
admin.,married,university.degree,telephone,23,1,32,93.994,-36.4,no
blue-collar,single,high.school,telephone,260,1,36,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,387,1,51,93.994,-36.4,no
admin.,married,high.school,telephone,70,1,32,93.994,-36.4,no
unemployed,married,basic.4y,telephone,272,1,50,93.994,-36.4,no
services,divorced,high.school,telephone,158,2,48,93.994,-36.4,no
admin.,married,high.school,telephone,35,3,32,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,607,1,48,93.994,-36.4,yes
technician,divorced,basic.9y,telephone,257,1,52,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,36,2,30,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,214,3,36,93.994,-36.4,no
admin.,married,university.degree,telephone,105,2,48,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,260,9,25,93.994,-36.4,no
admin.,single,high.school,telephone,197,4,28,93.994,-36.4,no
self-employed,single,basic.9y,telephone,174,2,28,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,144,2,34,93.994,-36.4,no
admin.,married,basic.4y,telephone,222,2,39,93.994,-36.4,no
services,married,professional.course,telephone,136,2,42,93.994,-36.4,no
retired,married,basic.4y,telephone,546,12,57,93.994,-36.4,no
admin.,married,basic.4y,telephone,49,2,44,93.994,-36.4,no
admin.,single,basic.9y,telephone,335,4,28,93.994,-36.4,no
self-employed,single,university.degree,telephone,105,1,25,93.994,-36.4,no
housemaid,single,high.school,telephone,1203,3,29,93.994,-36.4,no
services,married,high.school,telephone,1022,4,28,93.994,-36.4,yes
admin.,divorced,university.degree,telephone,128,1,41,93.994,-36.4,no
self-employed,married,professional.course,telephone,258,1,28,93.994,-36.4,no
admin.,married,high.school,telephone,199,1,32,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,364,1,49,93.994,-36.4,no
technician,married,university.degree,telephone,123,1,59,93.994,-36.4,no
admin.,married,university.degree,telephone,201,14,55,93.994,-36.4,no
management,married,university.degree,telephone,193,3,43,93.994,-36.4,no
retired,married,basic.4y,telephone,159,3,58,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,166,3,54,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,480,1,25,93.994,-36.4,no
technician,single,professional.course,telephone,149,4,24,93.994,-36.4,no
self-employed,married,university.degree,telephone,396,3,53,93.994,-36.4,no
admin.,married,university.degree,telephone,124,3,36,93.994,-36.4,no
housemaid,married,basic.4y,telephone,13,1,49,93.994,-36.4,no
entrepreneur,married,professional.course,telephone,259,1,44,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,162,1,51,93.994,-36.4,no
housemaid,married,high.school,telephone,723,1,37,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,89,1,41,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,257,2,40,93.994,-36.4,no
services,married,professional.course,telephone,361,2,35,93.994,-36.4,no
services,single,professional.course,telephone,314,1,24,93.994,-36.4,no
technician,married,university.degree,telephone,83,1,34,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,215,1,30,93.994,-36.4,no
services,married,high.school,telephone,115,4,48,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,147,3,27,93.994,-36.4,no
admin.,divorced,professional.course,telephone,102,1,40,93.994,-36.4,no
admin.,married,university.degree,telephone,183,7,40,93.994,-36.4,no
admin.,married,basic.9y,telephone,70,1,48,93.994,-36.4,no
admin.,single,high.school,telephone,19,1,35,93.994,-36.4,no
admin.,married,high.school,telephone,346,1,26,93.994,-36.4,no
admin.,married,university.degree,telephone,643,1,33,93.994,-36.4,no
services,single,university.degree,telephone,78,1,29,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,133,1,45,93.994,-36.4,no
admin.,married,university.degree,telephone,193,6,35,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,181,1,32,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,513,1,34,93.994,-36.4,no
services,single,high.school,telephone,109,2,33,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,263,1,37,93.994,-36.4,no
admin.,single,basic.9y,telephone,333,1,29,93.994,-36.4,no
student,single,university.degree,telephone,104,1,27,93.994,-36.4,no
services,divorced,high.school,telephone,191,4,43,93.994,-36.4,no
blue-collar,married,professional.course,telephone,571,1,47,93.994,-36.4,no
housemaid,single,high.school,telephone,180,1,32,93.994,-36.4,no
unemployed,divorced,professional.course,telephone,446,3,33,93.994,-36.4,no
unemployed,married,high.school,telephone,107,2,26,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,335,3,39,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,120,3,38,93.994,-36.4,no
blue-collar,married,professional.course,telephone,219,2,48,93.994,-36.4,no
entrepreneur,married,university.degree,telephone,148,1,42,93.994,-36.4,no
blue-collar,divorced,basic.9y,telephone,400,2,35,93.994,-36.4,no
blue-collar,divorced,basic.6y,telephone,503,2,42,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,125,5,36,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,329,1,28,93.994,-36.4,no
technician,single,basic.9y,telephone,194,3,32,93.994,-36.4,no
blue-collar,divorced,high.school,telephone,7,1,28,93.994,-36.4,no
blue-collar,divorced,basic.9y,telephone,53,1,41,93.994,-36.4,no
admin.,married,university.degree,telephone,261,56,32,93.994,-36.4,no
blue-collar,divorced,basic.9y,telephone,100,1,42,93.994,-36.4,no
technician,single,university.degree,telephone,104,1,29,93.994,-36.4,no
services,married,high.school,telephone,552,3,38,93.994,-36.4,yes
services,single,high.school,telephone,345,1,22,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,263,1,34,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,88,6,31,93.994,-36.4,no
entrepreneur,married,university.degree,telephone,44,39,52,93.994,-36.4,no
services,divorced,high.school,telephone,207,3,55,93.994,-36.4,no
services,single,high.school,telephone,401,2,24,93.994,-36.4,no
admin.,divorced,high.school,telephone,178,5,46,93.994,-36.4,no
admin.,divorced,university.degree,telephone,53,5,31,93.994,-36.4,no
admin.,married,university.degree,telephone,349,2,34,93.994,-36.4,no
entrepreneur,married,basic.9y,telephone,34,9,45,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,48,3,45,93.994,-36.4,no
technician,divorced,professional.course,telephone,182,11,39,93.994,-36.4,no
technician,single,university.degree,telephone,147,1,29,93.994,-36.4,no
technician,divorced,high.school,telephone,457,5,44,93.994,-36.4,no
technician,single,university.degree,telephone,193,1,29,93.994,-36.4,no
technician,married,professional.course,telephone,142,3,32,93.994,-36.4,no
technician,single,high.school,telephone,123,2,32,93.994,-36.4,no
technician,divorced,professional.course,telephone,65,3,48,93.994,-36.4,no
technician,single,university.degree,telephone,420,1,29,93.994,-36.4,no
blue-collar,married,professional.course,telephone,100,2,32,93.994,-36.4,no
blue-collar,single,basic.4y,telephone,403,2,38,93.994,-36.4,no
unemployed,single,high.school,telephone,229,3,28,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,445,2,46,93.994,-36.4,no
management,married,basic.9y,telephone,206,4,46,93.994,-36.4,no
admin.,single,university.degree,telephone,182,2,27,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,183,2,26,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,140,2,33,93.994,-36.4,no
management,married,university.degree,telephone,134,3,28,93.994,-36.4,no
management,married,basic.4y,telephone,88,35,52,93.994,-36.4,no
admin.,single,university.degree,telephone,234,13,35,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,215,3,33,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,194,5,46,93.994,-36.4,no
services,married,high.school,telephone,394,2,26,93.994,-36.4,no
services,married,high.school,telephone,5,2,39,93.994,-36.4,no
admin.,married,university.degree,telephone,408,2,47,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,114,2,26,93.994,-36.4,no
blue-collar,married,professional.course,telephone,210,2,34,93.994,-36.4,no
admin.,single,high.school,telephone,243,6,24,93.994,-36.4,no
technician,married,professional.course,telephone,180,6,31,93.994,-36.4,no
admin.,single,high.school,telephone,8,2,26,93.994,-36.4,no
admin.,married,high.school,telephone,313,2,31,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,1622,2,34,93.994,-36.4,yes
admin.,married,professional.course,telephone,324,2,60,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,205,3,32,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,194,2,24,93.994,-36.4,no
admin.,married,high.school,telephone,165,5,28,93.994,-36.4,no
entrepreneur,divorced,university.degree,telephone,86,7,55,93.994,-36.4,no
admin.,divorced,high.school,telephone,160,2,38,93.994,-36.4,no
blue-collar,married,professional.course,telephone,492,6,37,93.994,-36.4,no
services,divorced,university.degree,telephone,187,3,36,93.994,-36.4,no
technician,married,professional.course,telephone,197,4,47,93.994,-36.4,no
technician,married,professional.course,telephone,95,5,49,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,159,3,31,93.994,-36.4,no
services,married,high.school,telephone,967,6,52,93.994,-36.4,yes
services,married,high.school,telephone,260,3,36,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,109,2,51,93.994,-36.4,no
services,divorced,high.school,telephone,579,5,52,93.994,-36.4,yes
technician,married,professional.course,telephone,124,42,29,93.994,-36.4,no
services,married,professional.course,telephone,158,5,51,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,162,10,31,93.994,-36.4,no
admin.,married,high.school,telephone,211,2,36,93.994,-36.4,no
services,married,basic.9y,telephone,173,5,42,93.994,-36.4,no
management,single,basic.4y,telephone,73,7,32,93.994,-36.4,no
technician,single,professional.course,telephone,220,3,30,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,110,2,27,93.994,-36.4,no
management,married,basic.4y,telephone,99,22,47,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,112,7,56,93.994,-36.4,no
housemaid,married,basic.6y,telephone,168,4,57,93.994,-36.4,no
services,married,professional.course,telephone,283,3,27,93.994,-36.4,no
blue-collar,divorced,basic.4y,telephone,235,7,46,93.994,-36.4,no
technician,single,professional.course,telephone,138,8,43,93.994,-36.4,no
technician,single,professional.course,telephone,374,6,44,93.994,-36.4,no
self-employed,married,university.degree,telephone,353,4,52,93.994,-36.4,no
technician,single,professional.course,telephone,147,2,38,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,332,10,48,93.994,-36.4,no
technician,married,basic.9y,telephone,179,9,31,93.994,-36.4,no
management,married,university.degree,telephone,396,9,33,93.994,-36.4,no
blue-collar,single,university.degree,telephone,492,9,37,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,360,2,34,93.994,-36.4,no
housemaid,married,unknown,telephone,175,2,59,93.994,-36.4,no
admin.,married,university.degree,telephone,97,9,34,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,84,3,34,93.994,-36.4,no
blue-collar,single,professional.course,telephone,57,7,29,93.994,-36.4,no
entrepreneur,married,university.degree,telephone,105,11,46,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,886,3,46,93.994,-36.4,no
admin.,unknown,high.school,telephone,182,8,31,93.994,-36.4,no
blue-collar,divorced,unknown,telephone,467,4,58,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,21,11,33,93.994,-36.4,no
admin.,single,university.degree,telephone,470,4,32,93.994,-36.4,no
services,single,high.school,telephone,85,3,38,93.994,-36.4,no
admin.,single,university.degree,telephone,120,7,51,93.994,-36.4,no
services,married,high.school,telephone,298,2,34,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,249,2,30,93.994,-36.4,no
blue-collar,married,professional.course,telephone,87,5,39,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,622,2,47,93.994,-36.4,no
services,married,high.school,telephone,195,4,36,93.994,-36.4,no
services,divorced,high.school,telephone,179,2,47,93.994,-36.4,no
self-employed,single,basic.9y,telephone,58,10,49,93.994,-36.4,no
technician,divorced,professional.course,telephone,1218,3,33,93.994,-36.4,yes
blue-collar,married,basic.9y,telephone,500,3,54,93.994,-36.4,no
admin.,married,university.degree,telephone,66,9,35,93.994,-36.4,no
services,single,high.school,telephone,328,10,25,93.994,-36.4,no
management,married,basic.6y,telephone,3078,4,42,93.994,-36.4,no
admin.,single,high.school,telephone,21,7,26,93.994,-36.4,no
technician,married,professional.course,telephone,150,1,36,93.994,-36.4,no
technician,single,professional.course,telephone,148,5,47,93.994,-36.4,no
services,married,basic.9y,telephone,102,1,43,93.994,-36.4,no
admin.,married,university.degree,telephone,91,1,27,93.994,-36.4,no
housemaid,married,high.school,telephone,201,1,40,93.994,-36.4,no
management,married,unknown,telephone,70,1,56,93.994,-36.4,no
admin.,married,basic.6y,telephone,19,15,59,93.994,-36.4,no
technician,married,professional.course,telephone,82,9,49,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,59,1,40,93.994,-36.4,no
technician,divorced,professional.course,telephone,182,1,54,93.994,-36.4,no
housemaid,married,basic.4y,telephone,365,4,43,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,257,1,36,93.994,-36.4,no
technician,married,professional.course,telephone,280,1,53,93.994,-36.4,no
admin.,married,high.school,telephone,16,10,31,93.994,-36.4,no
technician,divorced,professional.course,telephone,249,1,53,93.994,-36.4,no
services,married,high.school,telephone,140,1,52,93.994,-36.4,no
admin.,married,university.degree,telephone,184,1,34,93.994,-36.4,no
unemployed,single,professional.course,telephone,20,12,31,93.994,-36.4,no
technician,single,university.degree,telephone,686,1,54,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,107,2,45,93.994,-36.4,no
admin.,married,basic.9y,telephone,224,1,40,93.994,-36.4,no
admin.,married,high.school,telephone,172,1,31,93.994,-36.4,no
entrepreneur,single,university.degree,telephone,19,1,41,93.994,-36.4,no
admin.,married,high.school,telephone,125,4,25,93.994,-36.4,no
student,single,university.degree,telephone,280,1,35,93.994,-36.4,no
admin.,divorced,university.degree,telephone,216,1,49,93.994,-36.4,no
blue-collar,married,high.school,telephone,109,1,53,93.994,-36.4,no
admin.,married,professional.course,telephone,81,1,40,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,409,2,46,93.994,-36.4,no
unemployed,married,basic.4y,telephone,146,1,40,93.994,-36.4,no
technician,married,unknown,telephone,83,1,48,93.994,-36.4,no
retired,married,university.degree,telephone,226,1,58,93.994,-36.4,no
technician,married,university.degree,telephone,191,1,30,93.994,-36.4,no
blue-collar,married,unknown,telephone,171,1,49,93.994,-36.4,no
technician,married,high.school,telephone,13,12,54,93.994,-36.4,no
technician,single,professional.course,telephone,133,1,45,93.994,-36.4,no
services,married,high.school,telephone,656,1,34,93.994,-36.4,no
services,single,basic.6y,telephone,1205,1,32,93.994,-36.4,yes
blue-collar,married,basic.4y,telephone,202,6,41,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,206,1,50,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,202,1,52,93.994,-36.4,no
admin.,married,unknown,telephone,79,1,45,93.994,-36.4,no
admin.,married,high.school,telephone,196,1,37,93.994,-36.4,no
management,single,basic.4y,telephone,186,4,25,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,532,1,50,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,97,2,43,93.994,-36.4,no
management,married,university.degree,telephone,234,5,34,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,216,1,41,93.994,-36.4,no
admin.,married,high.school,telephone,297,1,35,93.994,-36.4,no
blue-collar,single,high.school,telephone,1882,2,31,93.994,-36.4,yes
management,single,university.degree,telephone,243,1,34,93.994,-36.4,no
services,married,high.school,telephone,98,1,47,93.994,-36.4,no
self-employed,married,basic.4y,telephone,81,1,52,93.994,-36.4,no
blue-collar,married,unknown,telephone,1334,1,47,93.994,-36.4,yes
technician,divorced,university.degree,telephone,190,1,42,93.994,-36.4,no
admin.,married,high.school,telephone,142,3,28,93.994,-36.4,no
admin.,married,university.degree,telephone,775,1,43,93.994,-36.4,no
services,married,basic.9y,telephone,335,1,41,93.994,-36.4,no
technician,married,high.school,telephone,168,1,33,93.994,-36.4,no
admin.,married,university.degree,telephone,68,2,53,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,217,1,49,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,68,1,45,93.994,-36.4,no
services,married,university.degree,telephone,119,1,33,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,160,1,45,93.994,-36.4,no
unemployed,single,basic.9y,telephone,294,10,30,93.994,-36.4,no
technician,married,professional.course,telephone,57,1,49,93.994,-36.4,no
technician,married,professional.course,telephone,297,2,38,93.994,-36.4,no
services,divorced,high.school,telephone,90,1,39,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,600,1,50,93.994,-36.4,no
blue-collar,married,unknown,telephone,38,1,58,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,217,1,46,93.994,-36.4,no
housemaid,married,high.school,telephone,142,1,46,93.994,-36.4,no
technician,married,professional.course,telephone,26,1,40,93.994,-36.4,no
admin.,married,high.school,telephone,369,1,36,93.994,-36.4,no
self-employed,married,basic.4y,telephone,29,1,53,93.994,-36.4,no
technician,married,unknown,telephone,274,1,32,93.994,-36.4,no
admin.,divorced,university.degree,telephone,214,1,42,93.994,-36.4,no
services,married,high.school,telephone,24,1,39,93.994,-36.4,no
services,married,high.school,telephone,793,2,39,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,182,2,53,93.994,-36.4,yes
blue-collar,single,basic.9y,telephone,71,1,34,93.994,-36.4,no
services,married,high.school,telephone,203,1,39,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,166,1,50,93.994,-36.4,no
admin.,married,high.school,telephone,167,1,40,93.994,-36.4,no
technician,married,professional.course,telephone,37,1,56,93.994,-36.4,no
technician,married,professional.course,telephone,154,1,41,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,394,1,46,93.994,-36.4,no
blue-collar,married,unknown,telephone,127,1,36,93.994,-36.4,no
blue-collar,married,unknown,telephone,264,1,42,93.994,-36.4,no
technician,married,professional.course,telephone,231,1,38,93.994,-36.4,no
services,divorced,basic.9y,telephone,320,1,30,93.994,-36.4,no
technician,married,basic.9y,telephone,618,1,42,93.994,-36.4,no
technician,married,professional.course,telephone,101,1,38,93.994,-36.4,no
services,married,high.school,telephone,110,1,31,93.994,-36.4,no
management,married,unknown,telephone,121,3,45,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,85,1,33,93.994,-36.4,no
admin.,married,university.degree,telephone,265,1,36,93.994,-36.4,no
services,married,high.school,telephone,171,1,41,93.994,-36.4,no
admin.,married,high.school,telephone,345,1,31,93.994,-36.4,no
admin.,married,high.school,telephone,224,1,36,93.994,-36.4,no
admin.,single,basic.9y,telephone,171,1,21,93.994,-36.4,no
admin.,married,high.school,telephone,67,1,29,93.994,-36.4,no
management,married,university.degree,telephone,186,1,53,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,269,1,39,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,115,1,31,93.994,-36.4,no
admin.,divorced,university.degree,telephone,273,1,44,93.994,-36.4,no
admin.,single,basic.6y,telephone,65,1,38,93.994,-36.4,no
entrepreneur,married,unknown,telephone,434,1,47,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,148,1,36,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,507,1,27,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,253,1,45,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,27,1,34,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,100,1,50,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,116,1,40,93.994,-36.4,no
admin.,divorced,high.school,telephone,124,1,36,93.994,-36.4,no
admin.,married,university.degree,telephone,66,2,40,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,233,2,53,93.994,-36.4,no
admin.,divorced,university.degree,telephone,380,1,40,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,90,1,25,93.994,-36.4,no
admin.,married,university.degree,telephone,258,1,42,93.994,-36.4,no
admin.,divorced,professional.course,telephone,92,2,47,93.994,-36.4,no
admin.,divorced,university.degree,telephone,423,1,46,93.994,-36.4,no
technician,married,professional.course,telephone,215,2,35,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,209,1,45,93.994,-36.4,no
technician,married,professional.course,telephone,181,1,43,93.994,-36.4,no
admin.,divorced,basic.9y,telephone,201,1,58,93.994,-36.4,no
admin.,married,high.school,telephone,360,6,43,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,155,1,33,93.994,-36.4,no
blue-collar,divorced,unknown,telephone,81,2,38,93.994,-36.4,no
unknown,unknown,university.degree,telephone,40,1,32,93.994,-36.4,no
technician,married,professional.course,telephone,447,1,49,93.994,-36.4,no
services,single,unknown,telephone,137,1,36,93.994,-36.4,no
admin.,married,high.school,telephone,184,1,35,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,121,1,45,93.994,-36.4,no
admin.,divorced,high.school,telephone,138,4,36,93.994,-36.4,no
services,married,basic.9y,telephone,207,6,45,93.994,-36.4,no
services,married,high.school,telephone,309,1,34,93.994,-36.4,no
management,married,high.school,telephone,134,1,54,93.994,-36.4,no
services,single,basic.4y,telephone,1777,1,35,93.994,-36.4,yes
admin.,married,university.degree,telephone,284,1,30,93.994,-36.4,no
services,married,high.school,telephone,70,2,40,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,774,1,31,93.994,-36.4,no
technician,married,basic.9y,telephone,62,1,52,93.994,-36.4,no
admin.,married,basic.4y,telephone,247,2,46,93.994,-36.4,no
admin.,married,high.school,telephone,318,3,27,93.994,-36.4,no
unemployed,married,professional.course,telephone,277,2,39,93.994,-36.4,no
technician,married,university.degree,telephone,126,3,59,93.994,-36.4,no
admin.,single,unknown,telephone,411,1,39,93.994,-36.4,no
retired,divorced,professional.course,telephone,85,1,55,93.994,-36.4,no
unknown,married,university.degree,telephone,378,1,43,93.994,-36.4,no
self-employed,married,high.school,telephone,83,1,42,93.994,-36.4,no
admin.,single,university.degree,telephone,71,3,42,93.994,-36.4,no
management,married,unknown,telephone,102,2,56,93.994,-36.4,no
